domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	total	missing
www.mediamarkt.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	30	30	30	30	29.04	24
www.mediprostore.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	30	30	28.92	24
www.medtronic.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	29.2	24
www.meimonnisenbaum.com	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.36	24
www.melectronics.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	29.36	24
www.merckmanuals.com	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24
www.migros-impuls.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	29.64	24
www.migros.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	29.56	24
www.mongeneraliste.be	30	30	30	30	2	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.88	24
www.msdmanuals.com	30	7	30	30	19	11	10	19	4	3	7	7	12	14	10	7	11	6	6	2	30	30	30	2	6	13.72	6
www.msf.ch	30	30	30	30	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	29.48	23
www.neocitran.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	29.16	24
www.news-medical.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	16	28.56	23
www.notrefamille.com	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24
www.notretemps.com	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	29.32	24
www.orkyn.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.48	24
www.orl-toulouse-rivegauche.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	29.52	24
www.ouest-france.fr	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	5	30	27.64	22
www.passeportsante.net	3	4	30	2	10	4	3	2	2	9	2	3	4	1	2	2	3	2	4	10	30	10	5	3	13	6.52	2
www.pharma-gdd.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	28.96	24
www.pharmaciengiphar.com	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.32	24
www.pharmasuisse.org	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.32	24
www.pileje.ch	30	30	30	30	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.84	24
www.planetesante.ch	5	10	30	14	13	10	12	16	30	6	4	4	13	7	16	5	5	30	2	30	30	19	9	17	9	13.84	5
www.pollenundallergie.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	29.4	24
www.pourquoidocteur.fr	30	30	30	30	30	3	2	30	30	30	30	30	2	30	30	30	30	30	12	30	30	12	30	30	21	24.88	19
www.qare.fr	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	28.04	23
www.quebecscience.qc.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	29.44	24
www.ra-sante.com	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.32	24
www.reflexosteo.com	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	15	30	30	30	30	30	30	30	30	30	29.08	23
www.revmed.ch	2	1	30	30	8	1	1	6	30	10	1	1	6	6	30	1	1	1	1	12	30	30	7	30	30	12.24	8
www.ricola.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	29.68	24
www.risques-pme.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	29.64	24
www.rts.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	11	30	30	30	30	30	30	30	28.68	23
www.safetravel.ch	30	30	30	30	30	30	18	30	30	30	30	30	17	18	30	3	30	30	30	30	30	30	30	30	30	27.44	21
www.salveo.ch	30	30	30	30	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.04	24
www.sante-sur-le-net.com	19	13	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28	22
www.santelog.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	8	10	30	30	30	30	30	30	27.52	22
www.santemagazine.fr	30	5	30	12	5	18	19	30	30	5	9	11	18	20	30	17	15	10	8	30	30	30	30	30	22	19.76	10
www.santescience.fr	30	30	30	30	30	30	30	30	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.28	24
www.santeweb.ch	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.36	24
www.sciencesetavenir.fr	30	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.24	24
www.similasan.swiss	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	29.6	24
www.slate.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	29.44	24
www.soignez-moi.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	12	30	30	30	30	30	30	6	30	30	27.16	22
www.sunstore.ch	30	30	30	30	7	30	30	30	30	30	30	30	30	30	6	30	30	30	30	30	1	30	23	30	30	26.68	21
www.svmed.ch	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.32	24
www.synonymo.fr	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.12	24
www.tabac-info-service.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	29.56	24
www.tellmed.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	29.76	24
www.theraserena.com	30	30	30	30	30	30	30	30	3	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	28.32	23
www.topsante.com	30	30	30	30	30	30	30	30	16	30	3	2	30	4	30	30	14	7	30	30	30	30	30	30	30	24.64	19
www.toutelaconjugaison.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	30	29.76	24
www.uhn.ca	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24
www.walaarzneimittel.ch	30	30	30	30	30	30	30	30	30	12	30	30	30	30	9	30	30	30	30	30	30	30	11	30	30	27.68	22
www.weleda.be	30	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29	24
www.who.int	30	30	30	30	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	24
www.wordreference.com	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.32	24
www.youtube.com	30	30	30	30	30	15	15	30	30	30	10	10	16	30	30	30	30	30	30	30	30	30	30	30	30	26.64	20
zellerag.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	30	30	29.28	24
